inputs,outputs
"directions to a hotel please.  The_Westin is located 4 miles away and the Hotel_Keen 6 miles away. would you like directions to one of those? give me the quickest route to The_Westin please.  there is The_Westin_traffic_info, would you like me to put it on your screen? yes, please. setting route now. thank you car, please pick the shortest distance!","i did! enjoy your trip now, you're welcome!"
"what hospitals are nearby? there is one hospital nearby called Stanford_Express_Care. do you need the address? yes. its address is Stanford_Express_Care_address. do you want me to set the gps to go there? yes please, thanks.","you're welcome, glad i could help."
what is the forecast for this week what city do you want the forecast for? is it going to be hot this week? in los_angeles?,tuesday and wednesday should be hot days in los_angeles this week with highs in the 90s and 100s
"quickest route home.  there is home_traffic_info on the route. please pick the quickest route for me and let's go there, thanks!",setting navigation to quickest route home.
"what is the weather like today and tomorrow what city would you like the weather for? will it rain in mountain_view? rain is not predicted today, but tomorrow rain is predicted to fall in mountain_view thank you",you're welcome!
"car i need a hotel, please pick the fastest place to reach The_Clement_Hotel	is 6 miles away. is it the quickest route? no, Town_and_Country is the quickest option. Town_and_Country it is then. thank you","you're welcome, we should arrive shortly."
when is my football_activity and who is going with me?,"you have 3 football activities lined up. 2pm on football_activity_date with tom, 1pm on football_activity_date with your dad, and on sunday at 1pm with your mother"
what day are the football parties i'm going to? you have two football activities listed on the calendar.  both activities are on thursday. who are attending the activities?,the activity is with jeff.  the activity is with marie.
will it be cleveland_sunday_weather in san_mateo on sunday?,it will not be cleveland_sunday_weather in san_mateo on sunday.
will the weather be cloudy next week what city do you want to know if it will be cloudy in? new_york thanks it is not predicted to be cloudy at all in new_york. thanks.,glad to help
"schedule a optometrist appointment with my sister next week at 10am. okay, im scheduling a optometrist appointment with your sister for next week at 10am? do you have a specific day in mind? yes next monday, thanks!","okay driver, i will schedule an optometrist appointment with your sister next monday at 10am"
what's the temperature going to be for the week where do you want to know the temperature for? san_jose what days are you interested in? i want the whole week.,"in san_jose this week, the temperatures will be: low of 50f and high of 70f on monday, low of 50f, high of 70f on tuesday,manhattan_friday_low,manhattan_sunday_high on wednesday,manhattan_tuesday_low,manhattan_saturday_high on thursday, low of 30f, high of 50f on friday,manhattan_tuesday_low, high of 90f on saturday, low of 50f, high of 70f on sunday"
make a note that at 5 pm on the 12th i have yoga,"okay, making note of your yoga appointment at 5 pm on the 12th."
what is the forecast for this week,you would like to know the weekly forecast for what city?
i need a shopping center within 2 miles. stanford is the only shopping center listed at Stanford_Shopping_Center_distance away. do you want the address? yes and set the gps thank you.,"its address is Stanford_Shopping_Center_address, now you can see it on the map with the route to follow."
"can you schedule an optometrist appointment at 1pm, friday, with martha?  your optometrist appointment with martha at 1pm on friday has been scheduled.  thank you. you are welcome. that is all, thanks.",glad to help
"please give me the address and directions to the nearest parking garage, avoiding all heavy traffic.",Palo_Alto_Garage_R is 1 mile away at 481 amaranta ave. with moderate traffic noted.
schedule a reminder for me to take my medicine today with my father at 1pm.,setting a reminder for you to take your medicine with your father today at 1pm
"when is yoga, and who is going?","you have yoga activities on yoga_activity_date, 8th, and thursday, which one are you interested in?"
what's the temperature going to be like this week,you want the weekly temperature for what city?
"give me this week's high temperature in which city do you want to know the high temperatures for? in mountain_view, please.  the high temperature in mountain_view is 90f. thank you.",no problem
"check weather for new_york city what time period are you interested in? the current weather, please.",in new_york it is windy with a high of 80f and low of 60f
